"","GSM559619","GSM559623","GSM559624","GSM559628","GSM559616","GSM559617","GSM559618","GSM559620","GSM559621","GSM559622","GSM559625","GSM559626","GSM559627","GSM559629","GSM559630","GSM559631","GSM559632","GSM559633","GSM559634","GSM559635"
"CLDN10-AS1",2.82071,2.54787,2.58538,2.57082,2.61243,2.46725,2.56688,2.52271,2.64942,2.61243,2.64361,2.74103,3.62922,2.64422,2.52615,3.3599,2.50668,2.87141,2.55343,2.9966
"LOC101927123",2.34909,2.3881,2.33304,2.33855,2.38442,2.29199,2.37981,2.2909,2.46604,2.41021,2.40172,2.53306,2.38366,2.48424,2.28056,2.36078,2.32446,2.40052,2.33474,2.6163
"TBL1X",4.711535,4.766145,5.455335,4.92077,4.92188666666667,4.85122,4.905815,5.34697333333333,4.61562666666667,5.98028,5.40021333333333,5.88269833333333,5.74121833333333,4.28699333333333,4.0536,4.10860666666667,4.01727666666667,4.20769333333333,4.9326,3.62165
"WI2-89031B12.1",2.29446,2.31223,2.30308,2.2997,2.34821,2.34259,2.38013,2.32621,2.38085,2.31909,2.36502,2.39935,2.37752,2.42454,2.3962,2.34529,2.3523,2.49997,2.39867,2.45234
"LOC101927719",2.47288,2.54166,2.50331,2.48792,2.49107,2.44573,2.53342,2.50897,2.44222,2.55812,2.53338,2.71322,3.78329,2.52311,2.45027,2.93097,2.46735,2.51206,2.46073,2.69886
"RP11-6I2.3",3.37207,3.94246,3.57184,3.4474,3.42861,3.44435,3.51247,3.29834,3.5635,3.61909,3.54614,3.67934,3.54975,3.56508,3.47556,3.56721,3.2035,4.00097,3.76307,4.04003
"HCCAT5",2.31927,2.24434,2.28342,2.26982,2.28035,2.25382,2.26152,2.19585,2.56518,2.25547,2.81634,2.5731,2.59938,2.31111,2.30694,2.32593,2.24886,2.52149,2.24773,5.22256
"RP11-749H17.2",3.20988,2.92158,2.78609,2.97271,3.0994,2.80078,3.00262,2.88234,3.15924,2.96274,3.01958,3.89191,3.22628,3.36231,2.95367,4.02952,3.00265,3.35084,2.96177,4.41022
"RP11-359E8.5",2.4668,2.55832,2.56717,2.58647,2.59981,2.75748,2.54909,2.46752,2.67301,2.37364,2.57937,3.02855,2.66083,2.60269,4.2421,2.78889,2.54756,2.63853,2.87949,3.35144
"C20orf62",2.71562333333333,2.52552666666667,2.50039333333333,2.70041333333333,2.54740333333333,2.47928333333333,2.51784,2.55312333333333,2.67486,2.56522,2.66996,2.88214,2.63743666666667,2.62785,2.86044333333333,2.84337666666667,2.50245666666667,3.03512333333333,2.56172333333333,4.27196
